key,nom_unite,abrege_unite,departement,type_unite,num_tph,num_tph_mobile_unite,num_fax_unite,rang_classement,adresse_geographique_unite,adresse_postale_unite,libelle_unite,type_materiel,code_unite_terminal_de_saisie
GN00003039,Brigade de proximit� de Courpi�re,BP COURPIERE,63,0342,+33 4 73 53 00 00,,,11821.0,8 Avenue Sauron Delavet$63120 COURPIERE,8 AVENUE SAURON DELAVET$63120 COURPIERE,,,
GN00003040,Brigade de proximit� de Lezoux,BP LEZOUX,63,0342,+33 4 73 73 10 14,,,11820.0,2 Rue du Dr Grimaud$63190 LEZOUX,2 RUE DU DR GRIMAUD$63190 LEZOUX,,,
GN00003041,Brigade de proximit� de Maringues,BP MARINGUES,63,0342,+33 4 73 68 70 06,+33 6 71 92 46 29,,11803.0,Route de Clermont$63350 MARINGUES,ROUTE DE CLERMONT$63350 MARINGUES,,,
GN00003042,Brigade de proximit� de Puy-Guillaume,BP PUY-GUILLAUME,63,0342,+33 4 73 94 70 20,,,11824.0,14 Boulevard Vincent Auriol$63290 PUY GUILLAUME,14 BOULEVARD VINCENT AURIOL$63290 PUY GUILLAUME,,,
GN00003043,Brigade de proximit� de Saint-R�my-sur-Durolle,BP ST-REMY-SUR-DUROLLE,63,0342,+33 4 73 94 30 02,,,11825.0,Avenue de la Gare$63550 ST REMY SUR DUROLLE,AVENUE DE LA GARE$63550 ST REMY SUR DUROLLE,,,
GN00003044,Groupement de gendarmerie d�partementale de l'Allier,GGD03,03,033M,+33 4 70 35 57 00,,,11038.0,Quartier Taguin$118 Rue de Paris$03000 MOULINS,QUARTIER TAGUIN$118 RUE DE PARIS$03000 MOULINS,,,
GN00003048,Compagnie de gendarmerie d�partementale de Moulins,CGD MOULINS,03,033G,+33 4 70 35 57 00,+336 85 71 88 47,,11061.0,Quartier Taguin$118 Rue de Paris$03000 MOULINS,QUARTIER TAGUIN$118 RUE DE PARIS$03000 MOULINS,,,
GN00003049,Groupe de commandement CGD Moulins,GC CGD MOULINS,03,033J,+33 4 70 35 57 60,,,11062.0,Quartier Taguin$118 Rue de Paris$03000 MOULINS,QUARTIER TAGUIN$118 RUE DE PARIS$03000 MOULINS,,,
GN00003051,Brigade de recherches de Moulins,BR MOULINS,03,036A,+33 4 70 35 57 76,,,11064.0,Quartier Taguin$118 Rue de Paris$03000 MOULINS,QUARTIER TAGUIN$118 RUE DE PARIS$03000 MOULINS,,,
GN00003052,Brigade territoriale autonome de Moulins,BTA MOULINS,03,0344,+33 4 70 35 57 00,,,11066.0,Quartier Taguin$118 Rue de Paris$03000 MOULINS,QUARTIER TAGUIN$118 RUE DE PARIS$03000 MOULINS,,,
GN00003053,Brigade de proximit� de Bourbon-l'Archambault,BP BOURBON-L-ARCHAMBAULT,03,0342,+33 4 70 67 00 55,,,11068.0,47 Boulevard des Solins$03160 BOURBON L ARCHAMBAULT,47 BOULEVARD DES SOLINS$03160 BOURBON L ARCHAMBAULT,,,
GN00003054,Brigade de proximit� de Chantelle,BP CHANTELLE,03,0342,+33 4 70 56 60 88,,,11105.0,6 Rue de la Font-Neuve$03140 CHANTELLE,6 RUE DE LA FONT NEUVE$03140 CHANTELLE,,,
GN00003055,Brigade de proximit� de Chevagnes,BP CHEVAGNES,03,0342,+33 4 70 43 40 02,,,11072.0,Lotissement Saint-Jacques$03230 CHEVAGNES,LOTISSEMENT SAINT JACQUES$03230 CHEVAGNES,,,
GN00003056,Brigade territoriale autonome de Dompierre-sur-Besbre,BTA DOMPIERRE-SUR-BESBRE,03,0344,+33 4 70 43 76 00,,,11065.0,271 Grande Rue$03290 DOMPIERRE SUR BESBRE,271 GRANDE RUE$03290 DOMPIERRE SUR BESBRE,,,
GN00003057,Brigade de proximit� de Lurcy-L�vis,BP LURCY-LEVIS,03,0342,+33 4 70 67 80 28,,,11069.0,Route de Pouzy$03320 LURCY LEVIS,ROUTE DE POUZY$03320 LURCY LEVIS,,,
GN00003058,Brigade de proximit� du Montet,BP LE-MONTET,03,0342,+33 4 70 47 10 02,,,11075.0,3 Place de Richevielle$03240 LE MONTET,3 PLACE DE RICHEVIELLE$03240 LE MONTET,,,
GN00003059,Brigade de proximit� de Neuilly-le-R�al,BP NEUILLY-LE-REAL,03,0342,+33 4 70 43 80 03,,,11071.0,7 Place de la Mairie$03340 NEUILLY LE REAL,7 PLACE DE LA MAIRIE$03340 NEUILLY LE REAL,,,
GN00003060,Brigade de proximit� de Saint-Pour�ain-sur-Sioule,BP ST-POURCAIN-SUR-SIOULE,03,0342,+33 4 70 45 30 50,,,11104.0,2 Rue Marceau$03500 ST POURCAIN SUR SIOULE,2 RUE MARCEAU$03500 ST POURCAIN SUR SIOULE,BP de Saint-Pourçain-sur-Sioule,Bloc optique,GN00003060
GN00003061,Brigade de proximit� de Souvigny,BP SOUVIGNY,03,0342,+33 4 70 43 60 13,,,11074.0,37 Route de Saint-Menoux$03210 SOUVIGNY,37 ROUTE DE SAINT MENOUX$03210 SOUVIGNY,,,
GN00003062,Compagnie de gendarmerie d�partementale de Montlu�on,CGD MONTLUCON,03,033G,+33 4 70 05 01 73,+33 607727535,,11076.0,127 Rue Buffon$03100 MONTLUCON,127 RUE BUFFON$03103 MONTLUCON CEDEX,,,
GN00003063,Groupe de commandement CGD Montlu�on,GC CGD MONTLUCON,03,033J,+33 4 70 05 75 73,,,11077.0,127 Rue Buffon$03100 MONTLUCON,127 RUE BUFFON$03103 MONTLUCON CEDEX,,,
GN00003064,Brigade de recherches de Montlu�on,BR MONTLUCON,03,036A,+33 4 70 05 79 64,,,11079.0,127 Rue Buffon$03100 MONTLUCON,127 RUE BUFFON$03103 MONTLUCON CEDEX,,,
GN00003065,Brigade de proximit� de Montlu�on,BP MONTLUCON,03,0342,+33 4 70 05 01 73,,,11088.0,127 Rue Buffon$03100 MONTLUCON,127 RUE BUFFON$03103 MONTLUCON CEDEX,,,
GN00003066,Brigade de proximit� de C�rilly,BP CERILLY,03,0342,+33 4 70 67 51 76,+33 6 27 71 35 81,,11082.0,Lotissement Le Champ Coudray$03350 CERILLY,LOTISSEMENT LE CHAMP COUDRAY$03350 CERILLY,,,
GN00003067,Brigade de proximit� de Commentry,BP COMMENTRY,03,0342,+33 4 70 64 30 27,+33 6 70 74 07 85,+33 4 70 64 90 56,11085.0,14 Place Pierre Beregovoy$03600 COMMENTRY,14 PLACE PIERRE BEREGOVOY$03600 COMMENTRY,,,
GN00003069,Brigade de proximit� d'�breuil,BP EBREUIL,03,0342,+33 4 70 90 70 77,,,11098.0,17 Route de Gannat$03450 EBREUIL,17 ROUTE DE GANNAT$03450 EBREUIL,,,
GN00003070,Brigade de proximit� de Cosne-d'Allier,BP COSNE-D-ALLIER,03,0342,+33 4 70 07 53 36,,,11083.0,Rue de l'Aumance$03430 COSNE D ALLIER,RUE DE L AUMANCE$03430 COSNE D ALLIER,,,
GN00003071,Brigade de proximit� d'Huriel,BP HURIEL,03,0342,+33 4 70 28 60 06,,,11089.0,2 Grand Rue$03380 HURIEL,2 GRAND RUE$BP 9$03380 HURIEL,,,
GN00003072,Brigade de proximit� de Marcillat-en-Combraille,BP MARCILLAT-EN-COMBRAILLE,03,0342,+33 4 70 51 60 07,+33 6 71 92 48 68,,11086.0,23 Rue de l'Economique$03420 MARCILLAT EN COMBRAILLE,23 RUE DE L ECONOMIQUE$03420 MARCILLAT EN COMBRAILLE,,,
GN00003073,Brigade territoriale autonome de Montmarault,BTA MONTMARAULT,03,0344,+33 4 70 07 60 21,,,11080.0,1 Route de Moulins$03390 MONTMARAULT,1 ROUTE DE MOULINS$03390 MONTMARAULT,,,
GN00003076,Compagnie de gendarmerie d�partementale de Vichy,CGD VICHY,03,033G,+33 4 70 30 42 53,+33 6 13 26 39 28,,11090.0,16 Avenue du Colonel Arnaud Beltrame$03200 VICHY,16 AVENUE DU COLONEL ARNAUD BELTRAME$03200 VICHY,,,
GN00003077,Groupe de commandement CGD Vichy,GC CGD VICHY,03,033J,+33 4 70 30 42 53,,,11091.0,16 Avenue du Colonel Arnaud Beltrame$03200 VICHY,16 AVENUE DU COLONEL ARNAUD BELTRAME$03200 VICHY,,,
GN00003078,Brigade de recherches de Vichy,BR VICHY,03,036A,+33 4 70 30 42 50,,+33 4 70 30 42 89,11093.0,16 Avenue du Colonel Arnaud Beltrame$03200 VICHY,16 AVENUE DU COLONEL ARNAUD BELTRAME$03200 VICHY,,,
GN00003079,Brigade de proximit� de Vichy,BP VICHY,03,0342,+33 4 70 30 42 50,,,11107.0,16 Avenue du Colonel Arnaud Beltrame$03200 VICHY,16 AVENUE DU COLONEL ARNAUD BELTRAME$03200 VICHY,,,
GN00003082,Brigade de proximit� du Donjon,BP LE-DONJON,03,0342,+33 4 70 99 50 21,+33 6 71 92 46 79,,11102.0,7A Avenue Honor� Pr�veraud$03130 LE DONJON,7A AVENUE HONORE PREVERAUD$03130 LE DONJON,,,
GN00003083,Brigade de proximit� de Gannat,BP GANNAT,03,0342,+33 4 70 90 87 09,,,11097.0,2 Rue Jules Massenet$03800 GANNAT,2 RUE JULES MASSENET$BP 62$03800 GANNAT,BP de Gannat,Scanner,GN00003083
GN00003084,Brigade de proximit� de Jaligny-sur-Besbre,BP JALIGNY-SUR-BESBRE,03,0342,+33 4 70 34 70 13,+33 6 71 03 18 23,,11101.0,7 Route de Dompierre$03220 JALIGNY SUR BESBRE,7 ROUTE DE DOMPIERRE$03220 JALIGNY SUR BESBRE,,,
GN00003085,Brigade de proximit� de Lapalisse,BP LAPALISSE,03,0342,+33 4 70 99 03 60,,,11100.0,11 Boulevard Jean Jaur�s$03120 LAPALISSE,11 BOULEVARD JEAN JAURES$03120 LAPALISSE,,,
GN00003086,Brigade territoriale autonome du Mayet-de-Montagne,BTA LE-MAYET-DE-MONTAGNE,03,0344,+33 4 70 59 70 36,,,11094.0,16 Rue de Ferri�res$03250 LE MAYET DE MONTAGNE,16 RUE DE FERRIERES$03250 LE MAYET DE MONTAGNE,,,
GN00003087,Brigade de proximit� de Saint-Germain-des-Foss�s,BP ST-GERMAIN-DES-FOSSES,03,0342,+33 4 70 59 61 44,,,11108.0,3 Rue des Aures$03260 ST GERMAIN DES FOSSES,3 RUE DES AURES$03260 ST GERMAIN DES FOSSES,,,
GN00003088,Brigade territoriale autonome de Varennes-sur-Allier,BTA VARENNES-SUR-ALLIER,03,0344,+33 4 70 45 00 28,,,11095.0,4 Rue de la Gendarmerie$03150 VARENNES SUR ALLIER,4 RUE DE LA GENDARMERIE$BP 8$03150 VARENNES SUR ALLIER,,,
GN00003089,Groupement de gendarmerie d�partementale du Cantal,GGD15,15,033M,+33 4 71 45 54 00,,,11203.0,Caserne Adjudant Machemy$20 bis Avenue de la Libert�$15000 AURILLAC,CASERNE ADJUDANT MACHEMY$20 BIS AVENUE DE LA LIBERTE$15005 AURILLAC CEDEX,,,
GN00003093,Compagnie de gendarmerie d�partementale d'Aurillac,CGD AURILLAC,15,033G,+33 4 71 45 54 00,,,11225.0,Caserne Adjudant Machemy$20 bis Avenue de la Libert�$15000 AURILLAC,CASERNE ADJUDANT MACHEMY$20 BIS AVENUE DE LA LIBERTE$15005 AURILLAC CEDEX,,,
GN00003094,Groupe de commandement CGD Aurillac,GC CGD AURILLAC,15,033J,+33 4 71 45 54 52,,,11226.0,Caserne Adjudant Machemy$20 bis Avenue de la Libert�$15000 AURILLAC,CASERNE ADJUDANT MACHEMY$20 BIS AVENUE DE LA LIBERTE$15005 AURILLAC CEDEX,,,
GN00003095,Brigade de recherches d'Aurillac,BR AURILLAC,15,036A,+33 4 71 45 54 00,,,11228.0,Caserne Adjudant Machemy$20 bis Avenue de la Libert�$15000 AURILLAC,CASERNE ADJUDANT MACHEMY$20 BIS AVENUE DE LA LIBERTE$15005 AURILLAC CEDEX,,,
GN00003096,Brigade de proximit� d'Aurillac,BP AURILLAC,15,0342,+33 4 71 45 54 00,,,11230.0,Caserne Adjudant Machemy$20 bis Avenue de la Libert�$15000 AURILLAC,CASERNE ADJUDANT MACHEMY$20 BIS AVENUE DE LA LIBERTE$15005 AURILLAC CEDEX,BP d’Aurillac,Bloc optique,GN00003096
GN00003097,Brigade de proximit� de Puycapel,BP PUYCAPEL,15,0342,+33 4 71 49 91 55,,,11238.0,17 Rue du colombier$CALVINET$15340 PUYCAPEL,17 RUE DU COLOMBIER$CALVINET$15340 PUYCAPEL,,,
GN00003098,Brigade de proximit� de Laroquebrou,BP LAROQUEBROU,15,0342,+33 4 71 46 00 06,,,11231.0,Rue du 11 Juin 1944$15150 LAROQUEBROU,RUE DU 11 JUIN 1944$15150 LAROQUEBROU,,,
GN00003099,Brigade de proximit� de Lascelle,BP LASCELLE,15,0342,+33 4 71 47 92 02,,,11241.0,Le bourg$15590 LASCELLE MANDAILLES,LE BOURG$15590 LASCELLE MANDAILLES,,,
GN00003100,Brigade de proximit� de Maurs,BP MAURS,15,0342,+33 4 71 49 00 08,,,11234.0,25 bis Route de Qu�zac$15600 MAURS,25 BIS ROUTE DE QUEZAC$15600 MAURS,,,
GN00003101,Brigade de proximit� de Montsalvy,BP MONTSALVY,15,0342,+33 4 71 49 20 04,,,11237.0,22 Rue de La Cl�mence$15120 MONTSALVY,22 RUE DE LA CLEMENCE$15120 MONTSALVY,,,
GN00003102,Brigade de proximit� de Saint-Cernin,BP ST-CERNIN,15,0342,+33 4 71 47 60 03,+33 7 70 03 27 18,,11232.0,La Contie$15310 ST CERNIN,LA CONTIE$15310 ST CERNIN,,,
GN00003103,Brigade de proximit� de Saint-Mamet-la-Salvetat,BP ST-MAMET-LA-SALVETAT,15,0342,+33 4 71 64 70 01,,,11235.0,4 Rue de l'Hippodrome$15220 ST MAMET LA SALVETAT,4 RUE DE L HIPPODROME$15220 ST MAMET LA SALVETAT,,,
GN00003104,Brigade de proximit� de Vic-sur-C�re,BP VIC-SUR-CERE,15,0342,+33 4 71 47 50 08,,,11240.0,Avenue Max Mabit-Fournier$15800 VIC SUR CERE,AVENUE MAX MABIT FOURNIER$15800 VIC SUR CERE,,,
GN00003105,Compagnie de gendarmerie d�partementale de Mauriac,CGD MAURIAC,15,033G,+33 4 71 68 39 73,,,11242.0,7 Avenue du Commandant Gabon$15200 MAURIAC,7 AVENUE DU COMMANDANT GABON$15200 MAURIAC,,,
GN00003106,Groupe de commandement CGD Mauriac,GC CGD MAURIAC,15,033J,+33 4 71 68 39 72,,,11243.0,7 Avenue du Commandant Gabon$15200 MAURIAC,7 AVENUE DU COMMANDANT GABON$15200 MAURIAC,,,
GN00003107,Brigade de proximit� de Mauriac,BP MAURIAC,15,0342,+33 4 71 68 01 50,,,11247.0,7 Avenue du Commandant Gabon$15200 MAURIAC,7 AVENUE DU COMMANDANT GABON$15200 MAURIAC,,,
GN00003108,Brigade de proximit� de Champs-sur-Tarentaine-Marchal,BP CHAMPS-SUR-TARENTAINE-MARCHAL,15,0342,+33 4 71 78 70 17,,,11257.0,Lotissement Les Soudounnes$15270 CHAMPS SUR TARENTAINE MARCHAL,LOTISSEMENT LES SOUDOUNNES$15270 CHAMPS SUR TARENTAINE MARCHAL,,,
GN00003109,Brigade de proximit� de Pleaux,BP PLEAUX,15,0342,+33 4 71 40 40 17,,,11248.0,29 Avenue du Puy-Mary$15700 PLEAUX,29 AVENUE DU PUY MARY$15700 PLEAUX,,,
GN00003110,Brigade de proximit� de Riom-�s-Montagnes,BP RIOM-ES-MONTAGNES,15,0342,+33 4 71 78 07 51,+33 7 63 21 26 94,,11250.0,2 Rue Georges Bataille$15400 RIOM ES MONTAGNES,2 RUE GEORGES BATAILLE$15400 RIOM ES MONTAGNES,,,
GN00003112,Brigade de proximit� de Salers,BP SALERS,15,0342,+33 4 71 40 70 17,,,11253.0,2 Route de Mauriac - Jarriges$15140 SALERS,2 ROUTE DE MAURIAC JARRIGES$15140 SALERS,,,
GN00003113,Brigade de proximit� de Saint-Martin-Valmeroux,BP ST-MARTIN-VALMEROUX,15,0342,+33 4 71 69 20 03,,,11254.0,Le Bourg$1 Rue de la Vierge$15140 ST MARTIN VALMEROUX,LE BOURG$1 RUE DE LA VIERGE$15140 ST MARTIN VALMEROUX,,,
GN00003115,Brigade de proximit� d'Ydes,BP YDES,15,0342,+33 4 71 40 80 17,,,11256.0,6 All�e des Templiers$15210 YDES,6 ALLEE DES TEMPLIERS$15210 YDES,,,
GN00003116,Compagnie de gendarmerie d�partementale de Saint-Flour,CGD ST-FLOUR,15,033G,+33 4 71 60 11 22,,,11258.0,23 Avenue L�on B�lard$15100 ST FLOUR,23 AVENUE LEON BELARD$15100 ST FLOUR,,,
GN00003117,Groupe de commandement CGD Saint-Flour,GC CGD ST-FLOUR,15,033J,+33 4 71 60 77 32,,,11259.0,23 Avenue L�on B�lard$15100 ST FLOUR,23 AVENUE LEON BELARD$15100 ST FLOUR,,,
GN00003119,Brigade de proximit� de Saint-Flour,BP ST-FLOUR,15,0342,+33 4 71 60 11 22,,,11274.0,23 Avenue L�on B�lard$15100 ST FLOUR,23 AVENUE LEON BELARD$15100 ST FLOUR,,,
GN00003120,Brigade de proximit� d'Allanche,BP ALLANCHE,15,0342,+33 4 71 20 41 80,+33 6 08 30 65 73,,11269.0,3 Rue de Valmont$15160 ALLANCHE,3 RUE DE VALMONT$15160 ALLANCHE,,,
GN00003122,Brigade de proximit� de Condat,BP CONDAT,15,0342,+33 4 71 78 50 17,+33 6 46 88 26 36,,11251.0,24 Rue du Coll�ge$15190 CONDAT,24 RUE DU COLLEGE$15190 CONDAT,,,
GN00003124,Brigade de proximit� de Massiac,BP MASSIAC,15,0342,+33 4 71 23 02 92,,,11268.0,91 bis Avenue du G�n�ral de Gaulle$15500 MASSIAC,91 BIS AVENUE DU GENERAL DE GAULLE$15500 MASSIAC,,,
GN00003125,Brigade de proximit� de Murat,BP MURAT,15,0342,+33 4 71 20 04 80,,,11271.0,32 Avenue Hector Peschaud$15300 MURAT,32 AVENUE HECTOR PESCHAUD$15300 MURAT,,,
GN00003126,Brigade de proximit� de Neussargues-en-Pinatelle,BP NEUSSARGUES-EN-PINATELLE,15,0342,+33 4 71 20 50 20,,,11272.0,9 Rue de la Pin�de$NEUSSARGUES MOISSAC$15170 NEUSSARGUES EN PINATELLE,9 RUE DE LA PINEDE$NEUSSARGUES MOISSAC$15170 NEUSSARGUES EN PINATELLE,,,
GN00003127,Brigade de proximit� de Neuv�glise-sur-Truy�re,BP NEUVEGLISE-SUR-TRUYERE,15,0342,+33 4 71 23 80 24,,,11265.0,31 Rue du Docteur MALLET$NEUVEGLISE$15260 NEUVEGLISE SUR TRUYERE,31 RUE DU DOCTEUR MALLET$NEUVEGLISE$15260 NEUVEGLISE SUR TRUYERE,,,
GN00003128,Brigade de proximit� de Pierrefort,BP PIERREFORT,15,0342,+33 4 71 23 30 15,+33 6 78 34 04 11,,11266.0,2 Rue de Bellevue$15230 PIERREFORT,2 RUE DE BELLEVUE$15230 PIERREFORT,,,
GN00003129,Brigade de proximit� de Ruynes-en-Margeride,BP RUYNES-EN-MARGERIDE,15,0342,+33 4 71 23 40 40,,,11275.0,Lesparrots$15320 RUYNES EN MARGERIDE,LESPARROTS$15320 RUYNES EN MARGERIDE,,,
GN00003132,Groupement de gendarmerie d�partementale de la Haute-Loire,GGD43,43,033M,+33 4 71 04 52 00,,,11635.0,Caserne Romeuf$21 Rue du 86�me R�giment d'Infanterie$43000 LE PUY EN VELAY,CASERNE ROMEUF$21 RUE DU 86EME REGIMENT D INFANTERIE$43012 LE PUY EN VELAY CEDEX,,,
GN00003136,Compagnie de gendarmerie d�partementale du Puy-en-Velay,CGD LE-PUY-EN-VELAY,43,033G,+33 4 71 04 52 00,,,11655.0,Caserne Romeuf$21 Rue du 86�me R�giment d'Infanterie$43000 LE PUY EN VELAY,CASERNE ROMEUF$21 RUE DU 86EME REGIMENT D INFANTERIE$43012 LE PUY EN VELAY CEDEX,,,
GN00003137,Groupe de commandement CGD Le-Puy-en-Velay,GC CGD LE-PUY-EN-VELAY,43,033J,+33 4 71 04 52 00,,,11656.0,Caserne Romeuf$21 Rue du 86�me R�giment d'Infanterie$43000 LE PUY EN VELAY,CASERNE ROMEUF$21 RUE DU 86EME REGIMENT D INFANTERIE$43012 LE PUY EN VELAY CEDEX,,,
GN00003138,Brigade de recherches du Puy-en-Velay,BR LE-PUY-EN-VELAY,43,036A,+33 4 71 04 52 00,,,11659.0,Caserne Romeuf$21 Rue du 86�me R�giment d'Infanterie$43000 LE PUY EN VELAY,CASERNE ROMEUF$21 RUE DU 86EME REGIMENT D INFANTERIE$43012 LE PUY EN VELAY CEDEX,,,
GN00003140,Brigade de proximit� d'All�gre,BP ALLEGRE,43,0342,+33 4 71 00 70 65,+33 6 12 81 13 57,,11666.0,3 Rue Grellet de la Deyte$43270 ALLEGRE,3 RUE GRELLET DE LA DEYTE$43270 ALLEGRE,,,
GN00003141,Brigade de proximit� de Bains,BP BAINS,43,0342,+33 4 71 57 50 81,,,11662.0,588 Route du g�vaudan$43370 BAINS,588 ROUTE DU GEVAUDAN$43370 BAINS,,,
GN00003142,Brigade de proximit� de Costaros,BP COSTAROS,43,0342,+33 4 71 57 16 01,,,11661.0,Le bourg$43490 COSTAROS,LE BOURG$43490 COSTAROS,,,
GN00003143,Brigade de proximit� de Craponne-sur-Arzon,BP CRAPONNE-SUR-ARZON,43,0342,+33 4 71 03 20 15,,,11665.0,4 Route d'ARLANC$43500 CRAPONNE SUR ARZON,4 ROUTE D ARLANC$43500 CRAPONNE SUR ARZON,,,
GN00003144,Brigade de proximit� de Fay-sur-Lignon,BP FAY-SUR-LIGNON,43,0342,+33 4 71 59 50 42,+33 6 71 34 66 53,,11670.0,395 Route de Tence$43430 FAY SUR LIGNON,395 ROUTE DE TENCE$43430 FAY SUR LIGNON,,,
GN00003145,Brigade de proximit� de Loudes,BP LOUDES,43,0342,+33 4 71 08 60 03,,,11674.0,La Cheneau$43320 LOUDES,LA CHENEAU$43320 LOUDES,,,
GN00003146,Brigade de proximit� du Monastier-sur-Gazeille,BP LE-MONASTIER-SUR-GAZEILLE,43,0342,+33 4 71 03 80 09,,,11671.0,34 Rue Saint-Jean$43150 LE MONASTIER SUR GAZEILLE,34 RUE SAINT JEAN$43150 LE MONASTIER SUR GAZEILLE,,,
GN00003148,Brigade de proximit� de Pradelles,BP PRADELLES,43,0342,+33 4 71 00 80 57,,,11663.0,Avenue du Puy-en-Velay$43420 PRADELLES,AVENUE DU PUY EN VELAY$43420 PRADELLES,,,
GN00003149,Brigade de proximit� de Rosi�res,BP ROSIERES,43,0342,+33 4 71 57 40 25,,,11675.0,Quartier de la Gare$43800 ROSIERES,QUARTIER DE LA GARE$43800 ROSIERES,,,
GN00003150,Brigade de proximit� de Saugues,BP SAUGUES,43,0342,+33 4 71 77 82 32,,,11689.0,Avenue du G�vaudan$43170 SAUGUES,AVENUE DU GEVAUDAN$43170 SAUGUES,,,
GN00003151,Brigade de proximit� de Saint-Julien-Chapteuil,BP ST-JULIEN-CHAPTEUIL,43,0342,+33 4 71 08 70 03,+33 6 72 08 78 02,,11669.0,8 Avenue Jules Romains$43260 ST JULIEN CHAPTEUIL,8 AVENUE JULES ROMAINS$43260 ST JULIEN CHAPTEUIL,,,
GN00003152,Brigade de proximit� de Saint-Paulien,BP ST-PAULIEN,43,0342,+33 4 71 00 40 86,,,11673.0,Avenue Pierre Julien$43350 ST PAULIEN,AVENUE PIERRE JULIEN$43350 ST PAULIEN,,,
GN00003153,Brigade de proximit� de Vorey,BP VOREY,43,0342,+33 4 71 03 40 09,,,11676.0,20 Route de Brigols$43800 VOREY,20 ROUTE DE BRIGOLS$43800 VOREY,,,
GN00003154,Compagnie de gendarmerie d�partementale de Brioude,CGD BRIOUDE,43,033G,+33 4 71 74 79 32,,,11677.0,36 Boulevard Desaix$43100 BRIOUDE,36 BOULEVARD DESAIX$43100 BRIOUDE,,,
GN00003155,Groupe de commandement CGD Brioude,GC CGD BRIOUDE,43,033J,+33 4 71 74 79 32,,,11678.0,36 Boulevard Desaix$43100 BRIOUDE,36 BOULEVARD DESAIX$43100 BRIOUDE,,,
GN00003156,Brigade de proximit� de Brioude,BP BRIOUDE,43,0342,+33 4 71 74 92 77,+33 7 84 08 70 84,,11683.0,36 Boulevard Desaix$43100 BRIOUDE,36 BOULEVARD DESAIX$43100 BRIOUDE,BP de Brioude,Bloc optique,GN00003156
GN00003157,Brigade de proximit� de Blesle,BP BLESLE,43,0342,+33 4 71 76 21 19,,,11682.0,La Bessi�re$43450 BLESLE,LA BESSIERE$43450 BLESLE,,,
GN00003158,Brigade de proximit� de La-Chaise-Dieu,BP LA-CHAISE-DIEU,43,0342,+33 4 71 00 00 25,,,11667.0,12 Rue Picasso$43160 LA CHAISE DIEU,12 RUE PICASSO$43160 LA CHAISE DIEU,,,
GN00003160,Brigade de proximit� de Langeac,BP LANGEAC,43,0342,+33 4 71 77 02 85,,,11686.0,1 Rue Alphonse Daudet$43300 LANGEAC,1 RUE ALPHONSE DAUDET$43300 LANGEAC,,,
GN00003161,Brigade de proximit� de Lavo�te-Chilhac,BP LAVOUTE-CHILHAC,43,0342,+33 4 71 77 40 19,,,11687.0,1 All�e des Tennis$43380 LAVOUTE CHILHAC,1 ALLEE DES TENNIS$43380 LAVOUTE CHILHAC,,,
GN00003163,Brigade de proximit� de Paulhaguet,BP PAULHAGUET,43,0342,+33 4 71 76 61 08,,,11688.0,Rue Jeanne d'Arc$43230 PAULHAGUET,RUE JEANNE D ARC$43230 PAULHAGUET,,,
GN00003165,Brigade de proximit� de Sainte-Florine,BP STE-FLORINE,43,0342,+33 4 73 54 13 96,,,11684.0,2 Rue du Pr�sident$43250 STE FLORINE,2 RUE DU PRESIDENT$43250 STE FLORINE,,,
GN00003166,Compagnie de gendarmerie d�partementale d'Yssingeaux,CGD YSSINGEAUX,43,033G,+33 4 71 59 35 25,,,11690.0,80 Impasse de Bellevue$43200 YSSINGEAUX,80 IMPASSE DE BELLEVUE$43200 YSSINGEAUX,,,
GN00003167,Groupe de commandement CGD Yssingeaux,GC CGD YSSINGEAUX,43,033J,+33 4 71 59 35 25,,,11691.0,80 Impasse de Bellevue$43200 YSSINGEAUX,80 IMPASSE DE BELLEVUE$43200 YSSINGEAUX,,,
GN00003168,Brigade de proximit� d'Yssingeaux,BP YSSINGEAUX,43,0342,+33 4 71 59 00 42,,,11703.0,80 Impasse de Bellevue$43200 YSSINGEAUX,80 IMPASSE DE BELLEVUE$43200 YSSINGEAUX,BP d'Yssingeaux,Scanner,GN00003168
GN00003169,Brigade de proximit� de Bas-Monistrol,BP BAS-MONISTROL,43,0342,+33 4 71 66 50 06,,,11697.0,1 Route des Cheminots$43210 BAS EN BASSET,1 ROUTE DES CHEMINOTS$43210 BAS EN BASSET,BP de Bas-Monistrol,Scanner,GN00003169
GN00003172,Brigade de proximit� de Montfaucon-en-Velay,BP MONTFAUCON-EN-VELAY,43,0342,+33 4 71 59 92 32,,,11705.0,14 Route de la Grosse Pierre$43290 MONTFAUCON EN VELAY,14 ROUTE DE LA GROSSE PIERRE$43290 MONTFAUCON EN VELAY,,,
GN00003173,Brigade de proximit� de Retournac,BP RETOURNAC,43,0342,+33 4 71 59 42 39,,,11696.0,85 Rue Jean Baptiste Ribeyron$43130 RETOURNAC,85 RUE JEAN BAPTISTE RIBEYRON$43130 RETOURNAC,,,
GN00003174,Brigade de proximit� de Saint-Didier-en-Velay,BP ST-DIDIER-EN-VELAY,43,0342,+33 4 71 61 00 83,,,11700.0,Chemin des Garenne$43140 ST DIDIER EN VELAY,CHEMIN DES GARENNE$43140 ST DIDIER EN VELAY,,,
